Country,Population,Birth_Rate,Life_expectancy,Latitude,Longitude,continent,date,total_cases,total_deaths,total_vaccinations,total_tests,new_cases,2022_Population,2020_Population,Rank,Growth_Rate,Area,Density
Israel,"9,053,300",20.8,82.8,31.046051,34.851612,Asia,12/30/2020,416584,3307,833305,7960993,4186,9038309,8757489,98,1.0155,20770,435.1617
Bulgaria,"6,975,761",8.9,74.9,42.733883,25.48583,Europe,12/30/2020,201220,7515,4608,1141072,1729,6781953,6979175,108,0.9849,110879,61.1654
Latvia,"1,912,789",10,74.7,56.879635,24.603189,Europe,12/30/2020,39043,626,2325,864620,1367,1850651,1897052,151,0.9876,64559,28.666
Romania,"19,356,544",9.6,75.4,45.943161,24.96676,Europe,12/30/2020,627941,15596,5666,4775921,4875,19659267,19442038,64,1.0171,238391,82.4665
Mexico,"126,014,024",17.6,75,23.634501,-102.552784,North America,12/30/2020,1413935,124897,24998,3429473,12406,127504125,125998302,10,1.0063,1964375,64.9082
Chile,"18,952,038",12.43,80,-35.675147,-71.542969,South America,12/30/2020,606950,16499,8649,6400889,2964,19603733,19300315,65,1.0057,756102,25.9274
Switzerland,"8,574,832",10,83.6,46.818188,8.227512,Europe,12/30/2020,447905,7796,6129,3264859,5424,8740472,8638613,101,1.0056,41284,211.7157
Iceland,"361,313",12,82.7,64.963051,-19.020835,Europe,12/30/2020,5754,29,4875,240858,18,372899,366669,179,1.0069,103000,3.6204
United States,"328,239,523",11.6,78.5,37.09024,-95.712891,North America,12/30/2020,19881129,348427,5222990,255901758,219895,338289857,335942003,3,1.0038,9372610,36.0935
Greece,"10,716,322",8.1,81.3,39.074208,21.824312,Europe,12/30/2020,137918,4788,1722,3350565,942,10384971,10512232,90,0.9942,131990,78.68
France,"67,059,887",11.3,82.5,46.227638,2.213749,Europe,12/30/2020,2640749,64393,2013,35557115,26457,64626628,64480053,23,1.0015,551695,117.1419
Italy,"60,297,396",7.3,82.9,41.87194,12.56738,Europe,12/30/2020,2083689,73604,14832,26412603,16202,59037474,59500579,25,0.9966,301336,195.9191
Canada,"36,991,981",10.1,81.9,56.130366,-106.346771,North America,12/30/2020,583254,16568,85497,17864192,7714,38454327,37888705,39,1.0078,9984670,3.8513
Slovenia,"2,087,946",9.4,81,46.151241,14.995463,Europe,12/30/2020,119740,2665,9633,674423,2435,2119844,2117641,148,1.0002,20273,104.5649
Portugal,"10,269,417",8.5,81.3,39.399872,-8.224454,Europe,12/30/2020,406051,6830,30543,5645083,6049,10270865,10298192,92,0.9981,92090,111.5307
Bahrain,"1,501,635",13.99,77.2,26.0667,50.5577,Asia,12/30/2020,92425,352,57317,2345325,256,1472233,1477469,154,1.0061,765,1924.4876
Belgium,"11,484,055",10.3,81.6,50.503887,4.469936,Europe,12/30/2020,644242,19441,907,6936274,2831,11655930,11561717,81,1.0038,30528,381.8111
Slovenia,"2,087,946",9.4,81,46.151241,14.995463,Europe,12/31/2020,122152,2697,11491,678496,2412,2119844,2117641,148,1.0002,20273,104.5649
Belgium,"11,484,055",10.3,81.6,50.503887,4.469936,Europe,12/31/2020,646496,19528,954,6966831,2254,11655930,11561717,81,1.0038,30528,381.8111
Latvia,"1,912,789",10,74.7,56.879635,24.603189,Europe,12/31/2020,40904,635,2332,877015,1861,1850651,1897052,151,0.9876,64559,28.666
Chile,"18,952,038",12.43,80,-35.675147,-71.542969,South America,12/31/2020,608973,16608,8649,6443459,2023,19603733,19300315,65,1.0057,756102,25.9274
Argentina,"44,938,712",17.02,76.5,-38.416097,-63.616672,South America,12/31/2020,1625514,43245,32013,5126221,11586,45510318,45036032,33,1.0052,2780400,16.3683
Switzerland,"8,574,832",10,83.6,46.818188,8.227512,Europe,12/31/2020,452296,7873,6382,3288434,4391,8740472,8638613,101,1.0056,41284,211.7157
Norway,"5,347,896",10.4,82.8,60.472024,8.468946,Europe,12/31/2020,49567,436,2411,2737145,557,5434319,5379839,120,1.0058,323802,16.7828
Liechtenstein,"38,019",9.9,83,47.1410392,9.520935,Europe,12/31/2020,2221,44,0,20939,31,39327,38756,216,1.0074,160,245.7937
Poland,"37,970,874",10.2,77.6,51.919438,19.145136,Europe,12/31/2020,1294878,28554,47600,6941502,13464,39857145,38428366,37,1.0404,312679,127.4698
